City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
50,Cape Town,ZA,66.99,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
51,Vila,PT,39.99,broken clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
52,Kruisfontein,ZA,62.01,clear sky,-34.0033,24.7314,Oyster Bay House Rental
53,Lakeville,US,12.0,haze,44.6497,-93.2427,"Motel 6 Lakeville, MN - South - Lakeville"
56,Esperance,AU,62.6,overcast clouds,-33.8667,121.9,Hospitality Esperance
57,Chuy,UY,65.68,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
61,Ponta Do Sol,PT,51.01,broken clouds,32.6667,-17.1,Hotel do Campo
65,Atbasar,KZ,28.87,overcast clouds,51.8,68.3333,"The Ritz-Carlton, Astana"
66,Tasiilaq,GL,26.6,light snow,65.6145,-37.6368,The Red House
69,Cidreira,BR,69.31,clear sky,-30.1811,-50.2056,Hotel Castelo
71,Simao,CN,54.32,clear sky,22.7886,100.9748,Changyu Hotel
72,Graaff-Reinet,ZA,63.0,overcast clouds,-32.2522,24.5308,Rietjiesbos B&B
73,Hermanus,ZA,64.0,few clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
74,Trelleborg,SE,24.8,clear sky,55.3751,13.1569,Hotell Dannegården
83,Minsk,BY,15.8,light snow,53.9,27.5667,Minsk Hotel
84,Port Elgin,CA,32.0,overcast clouds,46.0487,-64.0868,Pumpkinn B&B
86,Tezu,IN,60.66,clear sky,27.9167,96.1667,Circuit House
87,Payson,US,34.0,few clouds,40.0444,-111.7321,Quality Inn Payson I-15
88,Hasaki,JP,44.6,few clouds,35.7333,140.8333,Inubosaki Kanko Hotel
89,Grabouw,ZA,66.0,clear sky,-34.1515,19.0151,Belfield Wines and Farm Cottages
91,Fortuna,US,51.01,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
93,Tura,IN,58.87,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
96,Codrington,AU,59.49,light rain,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
97,Yazman,PK,51.04,clear sky,29.1212,71.7446,Jamal sons showroom
98,Castro,BR,65.84,clear sky,-24.7911,-50.0119,CHACARA BAILLY
106,Jensen Beach,US,60.8,clear sky,27.2545,-80.2298,Courtyard by Marriott Hutchinson Island Oceanside/Jensen Beach
112,Traverse City,US,32.0,mist,44.7631,-85.6206,Bayshore Resort
114,Laguna,US,60.8,clear sky,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
115,Poitiers,FR,50.0,moderate rain,46.5833,0.3333,ibis Poitiers Centre
116,Eureka,US,53.01,few clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
118,Mar Del Plata,AR,64.99,mist,-38.0023,-57.5575,Gran Hotel Mar del Plata
119,Honghu,CN,48.15,light rain,29.8206,113.4621,文泉花园酒店
120,Paamiut,GL,16.74,clear sky,61.994,-49.6678,Yeet Hotel
122,Mount Gambier,AU,62.6,broken clouds,-37.8333,140.7667,Commodore on the Park
124,Damaturu,NG,66.79,clear sky,11.747,11.9608,"Hayas Guest Inn, Central Roundabout, Gujba Road"
126,Port Hardy,CA,42.8,moderate rain,50.6996,-127.4199,Airport Inn
129,Hikone,JP,46.0,broken clouds,35.25,136.25,Hikone Castle Resort & Spa
130,Nishihara,JP,66.2,broken clouds,26.1842,127.7558,Minshuku Agaihama
134,Gashua,NG,66.81,clear sky,12.870999999999999,11.0482,Forte Oil - Old Lorry Park
136,Port Alfred,ZA,66.0,scattered clouds,-33.5906,26.891,The Halyards Hotel
137,Maloy,NO,24.8,clear sky,61.9353,5.1136,Torget Hotell
138,Mehamn,NO,27.0,light snow,71.0357,27.8492,Mehamn Arctic Hotel AS
139,Salalah,OM,69.8,scattered clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
141,Biltine,TD,65.14,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
142,Bethel,US,30.0,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
