City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
132,Talara,-4.5772,-81.2719,78.8,65,0,13.8,PE,2021-02-03 22:16:43
133,Cape Town,-33.9258,18.4232,68.0,77,20,14.97,ZA,2021-02-03 22:13:22
134,Ponta Do Sol,32.6667,-17.1,55.0,65,51,3.0,PT,2021-02-03 22:16:43
135,Beyneu,45.3167,55.2,41.65,76,82,7.38,KZ,2021-02-03 22:16:43
136,Walvis Bay,-22.9575,14.5053,66.99,84,8,8.34,NA,2021-02-03 22:16:44
137,Esperance,-33.8667,121.9,59.0,55,90,11.5,AU,2021-02-03 22:16:44
138,Burewala,30.1667,72.65,52.41,53,0,6.29,PK,2021-02-03 22:12:03
139,Gorontalo,0.5412,123.0595,73.62,88,100,3.56,ID,2021-02-03 22:16:44
140,Harper,4.375,-7.7169,78.75,87,5,7.0,LR,2021-02-03 22:16:44
141,Kamphaeng Phet,16.25,99.5,74.77,47,6,1.32,TH,2021-02-03 22:16:44
142,Lata,40.1629,-8.3327,55.0,91,55,1.01,PT,2021-02-03 22:16:45
143,Acobamba,-11.3525,-75.6594,59.94,59,98,8.34,PE,2021-02-03 22:16:45
144,Kamaishi,39.2667,141.8833,22.84,90,7,4.41,JP,2021-02-03 22:16:45
145,Moree,-29.4667,149.85,75.2,57,0,18.41,AU,2021-02-03 22:16:45
146,Lazaro Cardenas,17.9583,-102.2,81.37,67,7,8.61,MX,2021-02-03 22:16:45
147,Faanui,-16.4833,-151.75,82.04,70,2,9.82,PF,2021-02-03 22:16:39
148,Pangnirtung,66.1451,-65.7125,-13.0,58,20,4.61,CA,2021-02-03 22:16:45
149,Yellowknife,62.456,-114.3525,-15.0,69,90,6.91,CA,2021-02-03 22:12:21
150,Castro,-24.7911,-50.0119,72.66,82,50,4.43,BR,2021-02-03 22:16:45
151,Pevek,69.7008,170.3133,-8.28,72,23,7.63,RU,2021-02-03 22:16:45
152,Zyryanka,65.75,150.85,-22.25,85,99,15.68,RU,2021-02-03 22:12:17
153,Kendrapara,20.5042,86.416,62.6,88,0,4.41,IN,2021-02-03 22:16:46
154,Ancud,-41.8697,-73.8203,71.6,56,0,5.75,CL,2021-02-03 22:14:30
155,Necochea,-38.5473,-58.7368,70.0,65,0,13.18,AR,2021-02-03 22:16:46
156,Suntar,62.1444,117.6319,-20.69,87,100,4.45,RU,2021-02-03 22:16:46
157,Comodoro Rivadavia,-45.8667,-67.5,71.6,49,0,18.41,AR,2021-02-03 22:13:57
158,Kyrylivka,46.3759,35.3675,45.16,93,100,8.93,UA,2021-02-03 22:16:46
159,Johnstown,40.3267,-78.922,28.99,69,90,20.71,US,2021-02-03 22:15:45
