City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
155,Dingle,10.9995,122.6711,74.98,91,71,8.25,PH,broken clouds
156,Jamame,0.0722,42.7506,75.9,83,0,11.48,SO,clear sky
157,Sosva,59.1766,61.8558,4.77,94,100,10.29,RU,snow
158,Ostrovnoy,68.0531,39.5131,13.6,94,100,12.39,RU,light snow
159,Kyotera,-0.6156,31.5175,71.51,63,33,5.59,UG,scattered clouds
160,Kaitangata,-46.2817,169.8464,50.04,93,3,2.93,NZ,clear sky
161,Shihezi,44.3,86.0333,14.38,92,47,0.43,CN,scattered clouds
162,Chuy,-33.6971,-53.4616,81.66,48,0,10.11,UY,clear sky
163,Luderitz,-26.6481,15.1594,76.1,47,0,29.57,NA,clear sky
164,Zheleznodorozhnyy,55.7503,38.0042,3.99,66,40,17.9,RU,scattered clouds
165,Grand Gaube,-20.0064,57.6608,80.01,77,39,3.0,MU,scattered clouds
166,Jacareacanga,-6.2222,-57.7528,78.98,92,100,3.2,BR,overcast clouds
167,Ribeira Grande,38.5167,-28.7,60.8,94,75,23.02,PT,broken clouds
168,Venado Tuerto,-33.7456,-61.9688,89.01,52,0,3.0,AR,clear sky
169,Katsuura,35.1333,140.3,46.4,61,0,4.61,JP,clear sky
170,Salalah,17.0151,54.0924,75.2,69,40,9.22,OM,scattered clouds
171,Sorland,67.667,12.6934,34.81,83,100,25.72,NO,overcast clouds
172,Saint-Philippe,-21.3585,55.7679,80.6,78,90,2.3,RE,light rain
173,Lorengau,-2.0226,147.2712,81.55,79,49,5.55,PG,scattered clouds
174,Port Elizabeth,-33.918,25.5701,71.6,88,75,9.22,ZA,broken clouds
175,Filingue,14.3521,3.3168,91.04,11,83,7.74,NE,broken clouds
176,Lebu,-37.6167,-73.65,62.8,77,87,6.15,CL,overcast clouds
177,Ciudad Dario,12.7314,-86.124,75.2,64,40,4.61,NI,scattered clouds
178,Swan Hill,-35.3378,143.5544,63.82,67,0,10.49,AU,clear sky
179,Sibu,2.3,111.8167,77.0,94,40,3.44,MY,moderate rain
180,Nara,34.6851,135.8049,43.0,71,30,3.29,JP,scattered clouds
181,Mahajanga,-15.7167,46.3167,80.6,83,40,2.3,MG,scattered clouds
182,Daru,-9.0763,143.2092,79.9,80,97,11.74,PG,overcast clouds
183,Qasigiannguit,68.8193,-51.1922,19.4,38,40,17.27,GL,snow
184,Marawi,7.9986,124.2928,73.99,92,99,5.99,PH,overcast clouds
